,end,val,accn,fy,fp,form,filed,frame
2,2008-11-28,5821598000,0000796343-10-000003,2009,FY,10-K,2010-01-22,CY2008Q4I
5,2009-11-27,7282237000,0000796343-10-000003,2009,FY,10-K,2010-01-22,
9,2009-11-27,7282237000,0000796343-11-000003,2010,FY,10-K,2011-01-27,CY2009Q4I
13,2010-12-03,8141148000,0000796343-11-000003,2010,FY,10-K,2011-01-27,
17,2010-12-03,8141148000,0000796343-12-000003,2011,FY,10-K,2012-01-26,CY2010Q4I
21,2011-12-02,8991183000,0000796343-12-000003,2011,FY,10-K,2012-01-26,
25,2011-12-02,8991183000,0000796343-13-000008,2012,FY,10-K,2013-01-22,CY2011Q4I
29,2012-11-30,9974523000,0000796343-13-000008,2012,FY,10-K,2013-01-22,
33,2012-11-30,10040229000,0000796343-14-000004,2013,FY,10-K,2014-01-21,CY2012Q4I
37,2013-11-29,10380298000,0000796343-14-000004,2013,FY,10-K,2014-01-21,
41,2013-11-29,10380298000,0000796343-15-000022,2014,FY,10-K,2015-01-20,CY2013Q4I
49,2014-11-28,10785829000,0000796343-16-000224,2015,FY,10-K,2016-01-19,CY2014Q4I
45,2014-11-28,10785829000,0000796343-15-000022,2014,FY,10-K,2015-01-20,
53,2015-11-27,11726472000,0000796343-16-000224,2015,FY,10-K,2016-01-19,
57,2015-11-27,11726472000,0000796343-17-000031,2016,FY,10-K,2017-01-20,CY2015Q4I
61,2016-12-02,12707114000,0000796343-17-000031,2016,FY,10-K,2017-01-20,
65,2016-12-02,12697246000,0000796343-18-000015,2017,FY,10-K,2018-01-22,CY2016Q4I
69,2017-12-01,14535556000,0000796343-18-000015,2017,FY,10-K,2018-01-22,
73,2017-12-01,14535556000,0000796343-19-000019,2018,FY,10-K,2019-01-25,CY2017Q4I
77,2018-11-30,18768682000,0000796343-19-000019,2018,FY,10-K,2019-01-25,
81,2018-11-30,18768682000,0000796343-20-000013,2019,FY,10-K,2020-01-21,CY2018Q4I
85,2019-11-29,20762400000,0000796343-20-000013,2019,FY,10-K,2020-01-21,
89,2019-11-29,20762000000,0000796343-21-000004,2020,FY,10-K,2021-01-15,CY2019Q4I
97,2020-11-27,24284000000,0000796343-22-000032,2021,FY,10-K,2022-01-21,CY2020Q4I
93,2020-11-27,24284000000,0000796343-21-000004,2020,FY,10-K,2021-01-15,
101,2021-12-03,27241000000,0000796343-22-000032,2021,FY,10-K,2022-01-21,CY2021Q4I
