,2016,2015,2014,2013,2012,2011,2010,2009,2008,2021,2020,2019,2018,2017,2022,1996,2007,2006,2005,2004,2003,2002,2001,1998,1997,2000,1999,1995
1397183,https://www.sec.gov/Archives/edgar/data/1397183/000149315216010721/0001493152-16-010721-index.htm,https://www.sec.gov/Archives/edgar/data/1397183/000114420415016334/0001144204-15-016334-index.htm,https://www.sec.gov/Archives/edgar/data/1397183/000114420414019230/0001144204-14-019230-index.htm,https://www.sec.gov/Archives/edgar/data/1397183/000114420413018976/0001144204-13-018976-index.htm,https://www.sec.gov/Archives/edgar/data/1397183/000114420412018625/0001144204-12-018625-index.htm,https://www.sec.gov/Archives/edgar/data/1397183/000114420411018206/0001144204-11-018206-index.htm,https://www.sec.gov/Archives/edgar/data/1397183/000095012310035188/0000950123-10-035188-index.htm,https://www.sec.gov/Archives/edgar/data/1397183/000100201409000348/0001002014-09-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1397183/000100201408000357/0001002014-08-000357-index.htm,,,,,,,,,,,,,,,,,,,
1002517,https://www.sec.gov/Archives/edgar/data/1002517/000100251716000088/0001002517-16-000088-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251715000032/0001002517-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251714000049/0001002517-14-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251713000060/0001002517-13-000060-index.htm,,,,,,https://www.sec.gov/Archives/edgar/data/1002517/000100251721000052/0001002517-21-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251720000058/0001002517-20-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251719000039/0001002517-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251718000064/0001002517-18-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251717000040/0001002517-17-000040-index.htm,,,,,,,,,,,,,,
1364742,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1364742/000156459022007117/0001564590-22-007117-index.htm,,,,,,,,,,,,,
1408278,https://www.sec.gov/Archives/edgar/data/1408278/000119312516513635/0001193125-16-513635-index.htm,https://www.sec.gov/Archives/edgar/data/1408278/000140827815000007/0001408278-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1408278/000140827814000003/0001408278-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1408278/000140827813000014/0001408278-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1408278/000119312512143687/0001193125-12-143687-index.htm,,,,,https://www.sec.gov/Archives/edgar/data/1408278/000140827821000050/0001408278-21-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1408278/000140827820000055/0001408278-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1408278/000156459019007648/0001564590-19-007648-index.htm,https://www.sec.gov/Archives/edgar/data/1408278/000156459018006086/0001564590-18-006086-index.htm,https://www.sec.gov/Archives/edgar/data/1408278/000156459017005022/0001564590-17-005022-index.htm,,,,,,,,,,,,,,
1535527,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000007/0001535527-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1535527/000153552720000006/0001535527-20-000006-index.htm,,,,https://www.sec.gov/Archives/edgar/data/1535527/000153552722000006/0001535527-22-000006-index.htm,,,,,,,,,,,,,
1768267,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1768267/000156459021057931/0001564590-21-057931-index.htm,https://www.sec.gov/Archives/edgar/data/1768267/000156459020054595/0001564590-20-054595-index.htm,https://www.sec.gov/Archives/edgar/data/1768267/000156459019046399/0001564590-19-046399-index.htm,,,,,,,,,,,,,,,,
1392972,https://www.sec.gov/Archives/edgar/data/1392972/000139297216000143/0001392972-16-000143-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297215000046/0001392972-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297214000045/0001392972-14-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297213000005/0001392972-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000119312512081468/0001193125-12-081468-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000095012311019844/0000950123-11-019844-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000095012310022407/0000950123-10-022407-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000110465909012603/0001104659-09-012603-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000110465908012328/0001104659-08-012328-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297221000039/0001392972-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297220000059/0001392972-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297219000067/0001392972-19-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297218000068/0001392972-18-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297217000038/0001392972-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297222000031/0001392972-22-000031-index.htm,,,,,,,,,,,,,
1337619,https://www.sec.gov/Archives/edgar/data/1337619/000155837016003712/0001558370-16-003712-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000104746915001517/0001047469-15-001517-index.htm,,,,,,,,https://www.sec.gov/Archives/edgar/data/1337619/000162828021003457/0001628280-21-003457-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828020002576/0001628280-20-002576-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828019002344/0001628280-19-002344-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837018001307/0001558370-18-001307-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837017002115/0001558370-17-002115-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828022003985/0001628280-22-003985-index.htm,,,,,,,,,,,,,
843006,https://www.sec.gov/Archives/edgar/data/843006/000165495416000153/0001654954-16-000153-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448815000966/0001354488-15-000966-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448814001022/0001354488-14-001022-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448813000935/0001354488-13-000935-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448812000920/0001354488-12-000920-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448811000682/0001354488-11-000682-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448810000836/0001354488-10-000836-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000111650209000420/0001116502-09-000420-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448808000513/0001354488-08-000513-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000165495421002389/0001654954-21-002389-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000165495420001999/0001654954-20-001999-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000165495419002109/0001654954-19-002109-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000165495418002057/0001654954-18-002057-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000165495417001989/0001654954-17-001989-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000165495422002481/0001654954-22-002481-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000089056696000168/0000890566-96-000168-index.htm,,,,,,,,,,,,
944480,https://www.sec.gov/Archives/edgar/data/944480/000094448016000097/0000944480-16-000097-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448015000016/0000944480-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448014000014/0000944480-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448013000011/0000944480-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448012000015/0000944480-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448011000011/0000944480-11-000011-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448010000006/0000944480-10-000006-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448009000011/0000944480-09-000011-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448008000011/0000944480-08-000011-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000114036121012540/0001140361-21-012540-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448020000043/0000944480-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448019000021/0000944480-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448018000007/0000944480-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448017000013/0000944480-17-000013-index.htm,,,https://www.sec.gov/Archives/edgar/data/944480/000094448007000011/0000944480-07-000011-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000116923206001787/0001169232-06-001787-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448005000005/0000944480-05-000005-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448004000013/0000944480-04-000013-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448003000017/0000944480-03-000017-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448002000010/0000944480-02-000010-index.htm,,,,,,
