,end,val,accn,fy,fp,form,filed,frame
0,2009-10-19,8879121378,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,CY2009Q3I
1,2010-01-25,8770460922,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,CY2009Q4I
2,2010-04-19,8763839329,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,CY2010Q1I
3,2010-07-20,8653567331,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2010Q2I
4,2010-10-22,8555523242,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,CY2010Q3I
5,2011-01-21,8402382031,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,CY2010Q4I
6,2011-04-21,8432767307,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,CY2011Q1I
7,2011-07-20,8378265782,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2011Q2I
8,2011-10-17,8412182277,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,CY2011Q3I
9,2012-01-17,8390771388,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,CY2011Q4I
10,2012-04-17,8400866103,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,CY2012Q1I
11,2012-07-18,8383396575,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2012Q2I
12,2012-10-15,8416462491,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,CY2012Q3I
13,2013-01-18,8376244910,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,CY2012Q4I
14,2013-04-11,8351106590,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,CY2013Q1I
15,2013-07-18,8329956402,0001193125-13-310206,2013,FY,10-K,2013-07-30,CY2013Q2I
16,2013-10-16,8347968348,0001193125-13-409855,2014,Q1,10-Q,2013-10-24,CY2013Q3I
17,2014-01-17,8300723725,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,CY2013Q4I
18,2014-04-17,8260411967,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,CY2014Q1I
19,2014-07-22,8239848789,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2014Q2I
20,2014-10-16,8242852827,0001193125-14-380252,2015,Q1,10-Q,2014-10-23,CY2014Q3I
21,2015-01-22,8203785341,0001193125-15-020351,2015,Q2,10-Q,2015-01-26,CY2014Q4I
22,2015-04-16,8089575277,0001193125-15-144151,2015,Q3,10-Q,2015-04-23,CY2015Q1I
23,2015-07-27,7997980969,0001193125-15-272806,2015,FY,10-K,2015-07-31,CY2015Q2I
24,2015-10-15,7987913152,0001193125-15-350718,2016,Q1,10-Q,2015-10-22,CY2015Q3I
25,2016-01-22,7909302774,0001193125-16-441821,2016,Q2,10-Q,2016-01-28,CY2015Q4I
26,2016-04-15,7860466856,0001193125-16-550254,2016,Q3,10-Q,2016-04-21,CY2016Q1I
27,2016-07-25,7792515573,0001193125-16-662209,2016,FY,10-K,2016-07-28,CY2016Q2I
28,2016-10-14,7775350501,0001193125-16-742796,2017,Q1,10-Q,2016-10-20,CY2016Q3I
29,2017-01-20,7727529820,0001564590-17-000654,2017,Q2,10-Q,2017-01-26,CY2016Q4I
30,2017-04-21,7720514731,0001564590-17-007547,2017,Q3,10-Q,2017-04-27,CY2017Q1I
31,2017-07-31,7702243979,0001564590-17-014900,2017,FY,10-K,2017-08-02,CY2017Q2I
32,2017-10-20,7714590195,0001564590-17-020171,2018,Q1,10-Q,2017-10-26,CY2017Q3I
33,2018-01-26,7699792852,0001564590-18-001129,2018,Q2,10-Q,2018-01-31,CY2017Q4I
34,2018-04-20,7683197503,0001564590-18-009307,2018,Q3,10-Q,2018-04-26,CY2018Q1I
35,2018-07-31,7668217316,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2018Q2I
36,2018-10-19,7676218736,0001564590-18-024893,2019,Q1,10-Q,2018-10-24,CY2018Q3I
37,2019-01-25,7672213446,0001564590-19-001392,2019,Q2,10-Q,2019-01-30,CY2018Q4I
38,2019-04-18,7662817920,0001564590-19-012709,2019,Q3,10-Q,2019-04-24,CY2019Q1I
39,2019-07-29,7635409400,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2019Q2I
40,2019-10-18,7628805618,0001564590-19-037549,2020,Q1,10-Q,2019-10-23,CY2019Q3I
41,2020-01-24,7606047010,0001564590-20-002450,2020,Q2,10-Q,2020-01-29,CY2019Q4I
42,2020-04-24,7583440247,0001564590-20-019706,2020,Q3,10-Q,2020-04-29,CY2020Q1I
43,2020-07-27,7567652935,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2020Q2I
44,2020-10-22,7560495969,0001564590-20-047996,2021,Q1,10-Q,2020-10-27,CY2020Q3I
45,2021-01-21,7542215767,0001564590-21-002316,2021,Q2,10-Q,2021-01-26,CY2020Q4I
46,2021-04-22,7531574551,0001564590-21-020891,2021,Q3,10-Q,2021-04-27,CY2021Q1I
47,2021-07-26,7514891248,0001564590-21-039151,2021,FY,10-K,2021-07-29,CY2021Q2I
48,2021-10-21,7507980444,0001564590-21-051992,2022,Q1,10-Q,2021-10-26,CY2021Q3I
49,2022-01-20,7496866428,0001564590-22-002324,2022,Q2,10-Q,2022-01-25,CY2021Q4I
